Name,Brand,Price,Old_price,Discount,Category,Model,Gender,Color,Material,Savings,Brand_Price_Diff,Price_bucket,Is_Premium_Brand
Kinetix Huxley Tx 4Fx,Kinetix,11990.0,24990.0,52.0,Kinetix обувь для бега,HUXLEY TX 4FX,Мужчины,Черный,Текстиль,13000.0,-1000.0,Budget,0
Polaris Stripe 3 Lu SubaM 4Fx  002   3,Polaris,1290.0,1990.0,35.0,Polaris носки,STRIPE 3 LU SUBA-M 4FX,Мужчины,Синий,Текстиль,700.0,-6700.0,Budget,0
Kinetix Wl Dalia 11P7113 4Fx,Kinetix,2990.0,4990.0,40.0,Kinetix футболка,WL DALIA 11P7113 4FX,Женщины,Черный,Полиамид,2000.0,-10000.0,Budget,0
Polaris Kalp 3 Lu SubaW 4Fx    3,Polaris,1990.0,2990.0,33.0,Polaris носки,KALP 3 LU SUBA-W 4FX,Женщины,Разноцветный,Текстиль,1000.0,-6000.0,Budget,0
Polaris Nakis 3 Lu SubaW 4Fx    3,Polaris,2490.0,2990.0,17.0,Polaris носки,NAKIS 3 LU SUBA-W 4FX,Женщины,Разноцветный,Текстиль,500.0,-5500.0,Budget,0
Lumberjack Wb Leo 3Lu 32Ptk 4Fx,Lumberjack,1790.0,2290.0,22.0,Lumberjack носки,WB LEO 3LU 32PTK 4FX,Женщины,Бежевый,Текстиль,500.0,-12200.0,Budget,0
Lumberjack Wb Slimline 3Lu 32Ptk 4Fx,Lumberjack,1490.0,2290.0,35.0,Lumberjack носки,WB SLIMLINE 3LU 32PTK 4FX,Женщины,Белый,Текстиль,800.0,-12500.0,Budget,0
Lumberjack Mb Hein 3Lu 31Bbt 4Fx  021,Lumberjack,1690.0,2290.0,26.0,Lumberjack носки,MB HEIN 3LU 31BBT 4FX,Мужчины,Зеленый,Текстиль,600.0,-12300.0,Budget,0
Lumberjack Ml Desmond 3Lu 32Ptk 4Fx,Lumberjack,1490.0,2290.0,35.0,Lumberjack носки,ML DESMOND 3LU 32PTK 4FX,Мужчины,Черный,Текстиль,800.0,-12500.0,Budget,0
Lumberjack Wb Opresion 3Lu 32Ptk 4Fx,Lumberjack,1990.0,2290.0,13.0,Lumberjack носки,WB OPRESION 3LU 32PTK 4FX,Женщины,Черный,Текстиль,300.0,-12000.0,Budget,0
Kinetix Wl Gosia 20Ms207 4Fx  012,Kinetix,3990.0,5990.0,33.0,Kinetix шорты,WL GOSIA 20MS207 4FX,Женщины,Серый,Полиамид,2000.0,-9000.0,Budget,0
adidas Hoops 30 Mid,adidas,34990.0,44990.0,22.0,adidas кроссовки,HOOPS 3.0 MID,Мужчины,Черный,кожа,10000.0,3000.0,Premium,0
Polaris Part 3 Lu SubaM 4Fx  013   3,Polaris,1290.0,1990.0,35.0,Polaris носки,PART 3 LU SUBA-M 4FX,Мужчины,Серый,Текстиль,700.0,-6700.0,Budget,0
Puma Bmw Mms XRay Speed,Puma,34990.0,54990.0,36.0,Puma кроссовки,BMW MMS X-Ray Speed,Мужчины,Черный,кожа/Текстиль,20000.0,5000.0,Premium,1
adidas Grand Court 20  004,adidas,37990.0,44990.0,16.0,adidas кроссовки,GRAND COURT 2.0,Женщины,Белый,кожа,7000.0,6000.0,Premium,0
Flexall Int1123Y095 4Fx,Flexall,8990.0,13990.0,36.0,Flexall сандалии,INT1123Y095 4FX,Мужчины,Черный,кожа,5000.0,-5000.0,Budget,0
Flexall Int1124Y089 4Fx,Flexall,9990.0,16990.0,41.0,Flexall сандалии,INT1124Y089 4FX,Мужчины,Синий,кожа,7000.0,-4000.0,Budget,0
Polaris Int1124Y092 4Fx,Polaris,11990.0,13990.0,14.0,Polaris сандалии,INT1124Y092 4FX,Мужчины,Черный,Кожа,2000.0,4000.0,Budget,0
adidas Galaxy 6 M,adidas,24990.0,36990.0,32.0,adidas обувь для бега,GALAXY 6 M,Мужчины,Серебро,Текстиль,12000.0,-7000.0,Mid-range,0
adidas Breaknet 20 K,adidas,20590.0,29990.0,31.0,adidas кроссовки,Breaknet 2.0 K,Унисекс,Белый,кожа,9400.0,-11400.0,Mid-range,0
Proshot Grace W 4Fx,PROSHOT,8490.0,13990.0,39.0,PROSHOT кроссовки,GRACE W 4FX,Женщины,Черный,кожа/Текстиль,5500.0,-4500.0,Budget,0
